,Country/Territory,IMF_2025,World_Bank_22_24,United_Nations_23
0,World,113795.678,111326.37,100834.796
1,United States,30507.217,29184.89,27720.7
2,China[n 1][n 3],19231.705,18743.803,17794.782
3,Germany,4744.804,4659.929,4525.704
4,India,4187.017,3912.686,3575.778
5,Japan,4186.431,4026.211,4204.495
6,United Kingdom,3839.18,3643.834,3380.855
7,France,3211.292,3162.079,3051.832
8,Italy,2422.855,2372.775,2300.941
9,Canada,2225.341,2241.253,2142.471
10,Brazil,2125.958,2179.412,2191.132
11,Russia,2076.396,2173.836,2008.419
12,Spain,1799.511,1722.746,1620.091
13,South Korea,1790.322,1712.793,1839.058
14,Australia,1771.681,1752.193,1775.628
15,Mexico,1692.64,1852.723,1793.799
16,Turkey,1437.406,1323.255,1118.253
17,Indonesia,1429.743,1396.3,1371.171
18,Netherlands,1272.011,1227.544,1154.361
19,Saudi Arabia,1083.749,1237.53,1067.583
20,Poland,979.96,914.696,809.201
21,Switzerland,947.125,936.564,894.425
22,Taiwan[n 4],804.889,0.0,0.0
23,Belgium,684.864,664.564,644.783
24,Argentina,683.533,633.267,646.075
25,Sweden,620.297,610.118,584.96
26,Ireland,598.84,577.389,551.395
27,Israel,583.361,540.38,513.611
28,Singapore,564.774,547.387,501.428
29,United Arab Emirates,548.598,537.079,514.13
30,Thailand,546.224,526.411,514.945
31,Austria,534.301,521.642,511.685
32,Norway,504.276,483.727,485.311
33,Philippines,497.495,461.618,437.146
34,Vietnam,490.97,476.388,429.717
35,Bangladesh,467.218,450.119,422.431
36,Denmark,449.94,429.457,407.092
37,Malaysia,444.984,421.972,399.649
38,Colombia,427.766,418.542,363.54
39,Hong Kong[n 5],423.999,407.107,380.812
40,South Africa,410.338,400.261,377.782
41,Romania,403.395,382.768,350.776
42,Pakistan,0.0,373.072,299.864
43,Czech Republic,360.244,345.037,343.208
44,Egypt,347.342,389.05,331.59
45,Chile,343.823,330.267,335.533
46,Iran,341.013,436.906,401.596
47,Portugal,321.44,308.683,289.114
48,Finland,303.945,299.836,295.532
49,Peru,303.293,289.222,267.603
50,Kazakhstan,300.538,288.406,264.293
51,Algeria,268.885,263.62,247.626
52,Greece,267.348,257.145,243.498
53,Iraq,258.02,279.641,232.107
54,New Zealand,248.666,260.236,252.176
55,Hungary,237.07,222.905,212.657
56,Qatar,222.776,217.983,213.003
57,Ukraine[n 6],205.742,190.741,178.757
58,Cuba,0.0,0.0,201.986
59,Nigeria,188.271,187.76,374.984
60,Morocco,165.835,154.431,144.438
61,Kuwait,153.101,160.227,163.705
62,Slovakia,147.031,141.776,132.908
63,Uzbekistan,132.484,114.965,90.889
64,Kenya,131.673,124.499,108.039
65,Dominican Republic,127.828,124.282,121.444
66,Ecuador,125.677,124.676,118.845
67,Puerto Rico,122.522,125.842,117.902
68,Guatemala,121.177,113.2,104.451
69,Ethiopia,117.457,163.698,159.746
70,Bulgaria,117.007,112.212,102.397
71,Angola,113.343,80.397,90.552
72,Venezuela,108.511,0.0,139.395
73,Oman,104.351,106.943,105.896
74,Costa Rica,102.591,95.35,86.498
75,Sri Lanka,0.0,98.963,84.364
76,Croatia,98.951,92.526,84.391
77,Luxembourg,96.613,93.197,85.755
78,Ivory Coast,94.483,86.538,78.789
79,Serbia,92.549,89.084,75.187
80,Panama,91.675,86.26,83.382
81,Lithuania,89.192,84.869,79.79
82,Turkmenistan,89.054,64.24,59.887
83,Ghana,88.332,82.825,76.37
84,Tanzania[n 7],85.977,78.78,78.353
85,Uruguay,79.731,80.962,77.236
86,DR Congo,79.119,70.749,69.338
87,Azerbaijan,78.87,74.316,72.356
88,Slovenia,75.224,72.485,69.148
89,Belarus,71.561,75.962,71.857
90,Myanmar,64.944,74.08,62.084
91,Uganda,64.277,53.652,51.023
92,Bolivia,56.339,49.668,45.135
93,Tunisia,56.291,53.41,48.541
94,Jordan,56.102,53.352,50.814
95,Cameroon,56.011,51.327,49.279
96,Macau[n 8],53.354,50.183,45.803
97,Cambodia,49.799,46.353,42.824
98,Bahrain,47.829,47.737,44.662
99,Libya,47.484,46.636,44.03
100,Nepal,46.08,42.914,40.484
101,Latvia,45.535,43.521,42.248
102,Paraguay,45.465,44.458,42.955
103,Estonia,45.004,42.765,41.291
104,Cyprus[n 9],38.736,36.333,33.887
105,Zimbabwe,38.172,44.188,30.368
106,Honduras,38.172,37.094,34.401
107,El Salvador,36.749,35.365,34.016
108,Georgia[n 10],35.353,33.776,30.536
109,Iceland,35.309,33.463,31.325
110,Senegal,34.728,32.267,30.408
111,Haiti,33.548,25.224,19.841
112,Papua New Guinea,32.835,32.538,31.02
113,Sudan,31.506,49.91,34.021
114,Guinea,30.094,25.334,23.006
115,Zambia,28.91,26.326,27.578
116,Bosnia and Herzegovina,28.807,28.343,27.515
117,Albania,28.372,27.178,22.978
118,Burkina Faso,27.056,23.25,20.325
119,Trinidad and Tobago,26.467,26.429,25.489
120,Armenia,26.258,25.787,24.219
121,Guyana,25.822,24.836,16.683
122,Mongolia,25.804,23.586,19.872
123,Malta,25.75,24.322,22.212
124,Mozambique,23.771,22.417,20.954
125,Mali,23.208,26.588,20.662
126,Benin,22.236,21.483,19.673
127,Niger,21.874,19.538,16.819
128,Jamaica,21.411,19.93,19.423
129,Nicaragua,21.155,19.694,17.829
130,Gabon,20.391,20.867,20.056
131,Lebanon,0.0,20.079,27.464
132,Syria,0.0,19.993,29.028
133,Kyrgyzstan,19.849,17.478,13.988
134,Moldova[n 11],19.462,18.2,16.542
135,Botswana,19.4,19.401,19.396
136,Chad,18.792,20.626,17.643
137,Madagascar,18.708,17.421,15.87
138,North Macedonia,17.885,16.685,15.764
139,Yemen,17.401,0.0,8.758
140,Afghanistan,0.0,17.152,16.417
141,North Korea,0.0,0.0,16.447
142,Laos,16.322,16.503,15.008
143,Brunei,16.007,15.463,15.128
144,Mauritius,15.495,14.953,14.397
145,Congo,15.281,15.72,14.167
146,Bahamas,15.178,15.833,14.338
147,Tajikistan,14.836,14.205,12.061
148,Rwanda,14.771,14.252,14.097
149,Namibia,14.214,13.372,12.351
150,Malawi,13.959,11.009,12.627
151,Palestine[n 12][n 13],0.0,13.711,17.396
152,Somalia,12.994,12.109,10.969
153,Equatorial Guinea,12.684,12.766,12.117
154,Channel Islands,0.0,12.508,0.0
155,Mauritania,11.47,10.767,10.652
156,Kosovo,11.274,11.149,10.467
157,New Caledonia,0.0,9.623,10.14
158,Togo,10.023,9.926,9.278
159,Monaco,0.0,9.995,9.995
160,Bermuda,0.0,8.98,8.142
161,Montenegro,8.562,8.07,7.53
162,Sierra Leone,8.386,7.548,6.412
163,Liechtenstein,0.0,8.288,7.965
164,Barbados,7.552,7.165,6.721
165,Maldives,7.48,6.975,6.591
166,Isle of Man,0.0,7.431,0.0
167,Cayman Islands,0.0,7.139,7.127
168,Guam,0.0,6.91,0.0
169,Burundi,6.745,2.162,3.96
170,French Polynesia,0.0,6.402,6.398
171,Fiji,6.257,5.841,5.442
172,Eswatini,5.483,4.892,4.574
173,Liberia,5.166,4.75,5.039
174,U.S. Virgin Islands,0.0,4.672,0.0
175,Djibouti,4.587,4.086,4.0
176,Suriname,4.506,4.714,3.759
177,Aruba,4.1,3.649,3.649
178,Andorra,4.035,4.04,3.785
179,South Sudan,3.998,0.0,4.629
180,Faroe Islands,0.0,3.907,0.0
181,Belize,3.611,3.516,3.079
182,Bhutan,3.422,3.019,3.019
183,Greenland,0.0,3.327,3.041
184,Curaçao,0.0,3.281,3.281
185,Central African Republic,2.932,2.752,2.555
186,Cape Verde,2.786,2.768,2.591
187,Gambia,2.771,2.508,2.401
188,Saint Lucia,2.632,2.549,2.43
189,Zanzibar,0.0,0.0,2.483
190,Lesotho,2.404,2.272,2.118
191,Antigua and Barbuda,2.373,2.225,2.033
192,Eritrea,0.0,0.0,2.275
193,Guinea-Bissau,2.274,2.12,1.841
194,Seychelles,2.198,2.167,2.141
195,Timor-Leste,2.115,1.881,2.08
196,San Marino,2.047,1.832,1.987
197,Solomon Islands,1.898,1.761,1.633
198,Turks and Caicos Islands,0.0,1.745,1.402
199,Sint Maarten,0.0,1.735,1.677
200,Comoros,1.548,1.546,1.448
201,British Virgin Islands,0.0,0.0,1.506
202,Grenada,1.464,1.391,1.317
203,Vanuatu,1.267,1.161,1.119
204,Saint Vincent and the Grenadines,1.242,1.157,1.091
205,Northern Mariana Islands,0.0,1.096,0.0
206,Samoa,1.16,1.068,1.032
207,Saint Kitts and Nevis,1.129,1.067,1.058
208,American Samoa,0.0,0.871,0.0
209,São Tomé and Príncipe,0.864,0.764,0.684
210,Dominica,0.742,0.689,0.651
211,Saint Martin,0.0,0.649,0.0
212,Tonga,0.568,0.509,0.508
213,Micronesia,0.5,0.471,0.46
214,Anguilla,0.0,0.0,0.416
215,Cook Islands,0.0,0.0,0.366
216,Palau,0.333,0.282,0.282
217,Kiribati,0.312,0.308,0.289
218,Marshall Islands,0.297,0.28,0.27
219,Nauru,0.169,0.16,0.176
220,Montserrat,0.0,0.0,0.08
221,Tuvalu,0.065,0.062,0.068
